GATEX
SPLV
SCNUX
SMLV
LGLV
VLVCX
USMV
VDIGX
VMNVX
BRBPX
IRONX
BPVLX
BPAPX
RNBWX
RGHIX
^BXM
^GSPC
VBMFX
VTSMX
VGTSX
BDJ
YCGEX
GMRPX
GGE
GTSOX
CPRFX
MCN
JENHX
GENIX
CEMAX
VBINX
